project_id,skill_name,skill_type,importance_weight
project_0013,leadership,gained,0.55
project_0014,javascript,required,1.0
project_0014,react,required,1.0
project_0014,analytics,required,1.0
project_0014,react,role,0.85
project_0014,analytics,role,0.85
project_0014,figma,role,0.85
project_0014,sql,gained,0.55
project_0014,leadership,gained,0.55
project_0014,design_thinking,gained,0.55
project_0015,python,required,1.0
project_0015,machine_learning,required,1.0
project_0015,git,required,1.0
project_0015,python,role,0.85
project_0015,machine_learning,role,0.85
project_0015,react,role,0.85
project_0015,leadership,gained,0.55
project_0015,prompt_engineering,gained,0.55
project_0015,public_speaking,gained,0.55
project_0016,python,required,1.0
project_0016,javascript,required,1.0
project_0016,sql,required,1.0
project_0016,python,role,0.85
project_0016,javascript,role,0.85
project_0016,design_thinking,role,0.85
project_0016,analytics,gained,0.55
project_0016,git,gained,0.55
project_0016,leadership,gained,0.55
project_0017,figma,required,1.0
project_0017,design_thinking,required,1.0
project_0017,javascript,required,1.0
project_0017,figma,role,0.85
project_0017,react,role,0.85
project_0017,design_thinking,role,0.85
project_0017,react,gained,0.55
project_0017,leadership,gained,0.55
project_0017,public_speaking,gained,0.55
project_0018,sql,required,1.0
project_0018,javascript,required,1.0
project_0018,analytics,required,1.0
project_0018,analytics,role,0.85
project_0018,sql,role,0.85
project_0018,react,role,0.85
project_0018,react,gained,0.55
project_0018,leadership,gained,0.55
project_0018,git,gained,0.55
project_0019,prompt_engineering,required,1.0
project_0019,python,required,1.0
project_0019,design_thinking,required,1.0
project_0019,prompt_engineering,role,0.85
project_0019,python,role,0.85
project_0019,figma,role,0.85
project_0019,analytics,gained,0.55
project_0019,leadership,gained,0.55
project_0019,public_speaking,gained,0.55
project_0020,sql,required,1.0
project_0020,analytics,required,1.0
project_0020,python,required,1.0
project_0020,sql,role,0.85
project_0020,analytics,role,0.85
project_0020,javascript,role,0.85
project_0020,javascript,gained,0.55
project_0020,react,gained,0.55
project_0020,leadership,gained,0.55
project_0021,react,required,1.0
project_0021,javascript,required,1.0
project_0021,leadership,required,1.0
project_0021,react,role,0.85
project_0021,leadership,role,0.85
project_0021,figma,role,0.85
project_0021,analytics,gained,0.55
project_0021,public_speaking,gained,0.55
project_0021,git,gained,0.55
project_0022,python,required,1.0
project_0022,machine_learning,required,1.0
project_0022,sql,required,1.0
project_0022,python,role,0.85
project_0022,machine_learning,role,0.85
project_0022,analytics,role,0.85
project_0022,analytics,gained,0.55
project_0022,git,gained,0.55
project_0022,leadership,gained,0.55
project_0023,analytics,required,1.0
project_0023,python,required,1.0
project_0023,public_speaking,required,1.0
project_0023,analytics,role,0.85
project_0023,design_thinking,role,0.85
project_0023,public_speaking,role,0.85
project_0023,prompt_engineering,gained,0.55
project_0023,leadership,gained,0.55
project_0023,sql,gained,0.55
project_0024,python,required,1.0
project_0024,machine_learning,required,1.0
project_0024,prompt_engineering,required,1.0
project_0024,python,role,0.85
project_0024,react,role,0.85
project_0024,design_thinking,role,0.85
project_0024,analytics,gained,0.55
project_0024,git,gained,0.55
project_0024,sql,gained,0.55
project_0025,python,required,1.0
project_0025,sql,required,1.0
project_0025,analytics,required,1.0
project_0025,analytics,role,0.85
project_0025,react,role,0.85
project_0025,public_speaking,role,0.85
project_0025,react,gained,0.55
project_0025,design_thinking,gained,0.55
project_0025,leadership,gained,0.55
project_0026,javascript,required,1.0
project_0026,react,required,1.0
project_0026,analytics,required,1.0
project_0026,react,role,0.85
project_0026,analytics,role,0.85
project_0026,figma,role,0.85
project_0026,sql,gained,0.55
project_0026,leadership,gained,0.55
project_0026,design_thinking,gained,0.55
project_0027,python,required,1.0
project_0027,machine_learning,required,1.0
project_0027,git,required,1.0
project_0027,python,role,0.85
project_0027,machine_learning,role,0.85
project_0027,react,role,0.85
project_0027,leadership,gained,0.55
project_0027,prompt_engineering,gained,0.55
project_0027,public_speaking,gained,0.55
project_0028,python,required,1.0
project_0028,javascript,required,1.0
project_0028,sql,required,1.0
project_0028,python,role,0.85
project_0028,javascript,role,0.85
project_0028,design_thinking,role,0.85
project_0028,analytics,gained,0.55
project_0028,git,gained,0.55
project_0028,leadership,gained,0.55
project_0029,figma,required,1.0
project_0029,design_thinking,required,1.0
project_0029,javascript,required,1.0
project_0029,figma,role,0.85
project_0029,react,role,0.85
project_0029,design_thinking,role,0.85
project_0029,react,gained,0.55
project_0029,leadership,gained,0.55
project_0029,public_speaking,gained,0.55
project_0030,sql,required,1.0
project_0030,javascript,required,1.0
project_0030,analytics,required,1.0
project_0030,analytics,role,0.85
project_0030,sql,role,0.85
project_0030,react,role,0.85
project_0030,react,gained,0.55
project_0030,leadership,gained,0.55
project_0030,git,gained,0.55
project_0031,prompt_engineering,required,1.0
project_0031,python,required,1.0
project_0031,design_thinking,required,1.0
project_0031,prompt_engineering,role,0.85
project_0031,python,role,0.85
project_0031,figma,role,0.85
project_0031,analytics,gained,0.55
project_0031,leadership,gained,0.55
project_0031,public_speaking,gained,0.55
project_0032,sql,required,1.0
project_0032,analytics,required,1.0
project_0032,python,required,1.0
project_0032,sql,role,0.85
project_0032,analytics,role,0.85
project_0032,javascript,role,0.85
project_0032,javascript,gained,0.55
project_0032,react,gained,0.55
project_0032,leadership,gained,0.55
project_0033,react,required,1.0
project_0033,javascript,required,1.0
project_0033,leadership,required,1.0
project_0033,react,role,0.85
project_0033,leadership,role,0.85
project_0033,figma,role,0.85
project_0033,analytics,gained,0.55
project_0033,public_speaking,gained,0.55
project_0033,git,gained,0.55
project_0034,python,required,1.0
project_0034,machine_learning,required,1.0
project_0034,sql,required,1.0
project_0034,python,role,0.85
project_0034,machine_learning,role,0.85
project_0034,analytics,role,0.85
project_0034,analytics,gained,0.55
project_0034,git,gained,0.55
project_0034,leadership,gained,0.55
project_0035,analytics,required,1.0
project_0035,python,required,1.0
project_0035,public_speaking,required,1.0
project_0035,analytics,role,0.85
project_0035,design_thinking,role,0.85
project_0035,public_speaking,role,0.85
project_0035,prompt_engineering,gained,0.55
project_0035,leadership,gained,0.55
project_0035,sql,gained,0.55
project_0036,python,required,1.0
project_0036,machine_learning,required,1.0
project_0036,prompt_engineering,required,1.0
project_0036,python,role,0.85
project_0036,react,role,0.85
project_0036,design_thinking,role,0.85
project_0036,analytics,gained,0.55
project_0036,git,gained,0.55
project_0036,sql,gained,0.55
project_0037,python,required,1.0
project_0037,sql,required,1.0
project_0037,analytics,required,1.0
project_0037,analytics,role,0.85
project_0037,react,role,0.85
project_0037,public_speaking,role,0.85
project_0037,react,gained,0.55
project_0037,design_thinking,gained,0.55
project_0037,leadership,gained,0.55
project_0038,javascript,required,1.0
project_0038,react,required,1.0
project_0038,analytics,required,1.0
project_0038,react,role,0.85
project_0038,analytics,role,0.85
project_0038,figma,role,0.85
project_0038,sql,gained,0.55
project_0038,leadership,gained,0.55
project_0038,design_thinking,gained,0.55
project_0039,python,required,1.0
project_0039,machine_learning,required,1.0
project_0039,git,required,1.0
project_0039,python,role,0.85
project_0039,machine_learning,role,0.85
project_0039,react,role,0.85
project_0039,leadership,gained,0.55
project_0039,prompt_engineering,gained,0.55
project_0039,public_speaking,gained,0.55
project_0040,python,required,1.0
project_0040,javascript,required,1.0
project_0040,sql,required,1.0
project_0040,python,role,0.85
project_0040,javascript,role,0.85
project_0040,design_thinking,role,0.85
project_0040,analytics,gained,0.55
project_0040,git,gained,0.55
project_0040,leadership,gained,0.55
project_0041,figma,required,1.0
project_0041,design_thinking,required,1.0
project_0041,javascript,required,1.0
project_0041,figma,role,0.85
project_0041,react,role,0.85
project_0041,design_thinking,role,0.85
project_0041,react,gained,0.55
project_0041,leadership,gained,0.55
project_0041,public_speaking,gained,0.55
project_0042,sql,required,1.0
project_0042,javascript,required,1.0
project_0042,analytics,required,1.0
project_0042,analytics,role,0.85
project_0042,sql,role,0.85
project_0042,react,role,0.85
project_0042,react,gained,0.55
project_0042,leadership,gained,0.55
project_0042,git,gained,0.55
project_0043,prompt_engineering,required,1.0
project_0043,python,required,1.0
project_0043,design_thinking,required,1.0
project_0043,prompt_engineering,role,0.85
project_0043,python,role,0.85
project_0043,figma,role,0.85
project_0043,analytics,gained,0.55
project_0043,leadership,gained,0.55
project_0043,public_speaking,gained,0.55
project_0044,sql,required,1.0
project_0044,analytics,required,1.0
project_0044,python,required,1.0
project_0044,sql,role,0.85
project_0044,analytics,role,0.85
project_0044,javascript,role,0.85
project_0044,javascript,gained,0.55
project_0044,react,gained,0.55
project_0044,leadership,gained,0.55
project_0045,react,required,1.0
project_0045,javascript,required,1.0
project_0045,leadership,required,1.0
project_0045,react,role,0.85
project_0045,leadership,role,0.85
project_0045,figma,role,0.85
project_0045,analytics,gained,0.55
project_0045,public_speaking,gained,0.55
project_0045,git,gained,0.55
project_0046,python,required,1.0
project_0046,machine_learning,required,1.0
project_0046,sql,required,1.0
project_0046,python,role,0.85
project_0046,machine_learning,role,0.85
project_0046,analytics,role,0.85
project_0046,analytics,gained,0.55
project_0046,git,gained,0.55
project_0046,leadership,gained,0.55
project_0047,analytics,required,1.0
project_0047,python,required,1.0
project_0047,public_speaking,required,1.0
project_0047,analytics,role,0.85
project_0047,design_thinking,role,0.85
project_0047,public_speaking,role,0.85
project_0047,prompt_engineering,gained,0.55
project_0047,leadership,gained,0.55
project_0047,sql,gained,0.55
project_0048,python,required,1.0
project_0048,machine_learning,required,1.0
project_0048,prompt_engineering,required,1.0
project_0048,python,role,0.85
project_0048,react,role,0.85
project_0048,design_thinking,role,0.85
project_0048,analytics,gained,0.55
project_0048,git,gained,0.55
project_0048,sql,gained,0.55
project_0049,python,required,1.0
project_0049,sql,required,1.0
project_0049,analytics,required,1.0
project_0049,analytics,role,0.85
project_0049,react,role,0.85
project_0049,public_speaking,role,0.85
project_0049,react,gained,0.55
project_0049,design_thinking,gained,0.55
project_0049,leadership,gained,0.55
project_0050,javascript,required,1.0
project_0050,react,required,1.0
project_0050,analytics,required,1.0
project_0050,react,role,0.85
project_0050,analytics,role,0.85
project_0050,figma,role,0.85
project_0050,sql,gained,0.55
project_0050,leadership,gained,0.55
project_0050,design_thinking,gained,0.55
project_0051,python,required,1.0
project_0051,machine_learning,required,1.0
project_0051,git,required,1.0
project_0051,python,role,0.85
project_0051,machine_learning,role,0.85
project_0051,react,role,0.85
project_0051,leadership,gained,0.55
project_0051,prompt_engineering,gained,0.55
project_0051,public_speaking,gained,0.55
project_0052,python,required,1.0
project_0052,javascript,required,1.0
project_0052,sql,required,1.0
project_0052,python,role,0.85
project_0052,javascript,role,0.85
project_0052,design_thinking,role,0.85
project_0052,analytics,gained,0.55
project_0052,git,gained,0.55
project_0052,leadership,gained,0.55
project_0053,figma,required,1.0
project_0053,design_thinking,required,1.0
project_0053,javascript,required,1.0
project_0053,figma,role,0.85
project_0053,react,role,0.85
project_0053,design_thinking,role,0.85
project_0053,react,gained,0.55
project_0053,leadership,gained,0.55
project_0053,public_speaking,gained,0.55
project_0054,sql,required,1.0
project_0054,javascript,required,1.0
project_0054,analytics,required,1.0
project_0054,analytics,role,0.85
project_0054,sql,role,0.85
project_0054,react,role,0.85
project_0054,react,gained,0.55
project_0054,leadership,gained,0.55
project_0054,git,gained,0.55
project_0055,prompt_engineering,required,1.0
project_0055,python,required,1.0
project_0055,design_thinking,required,1.0
project_0055,prompt_engineering,role,0.85
project_0055,python,role,0.85
project_0055,figma,role,0.85
project_0055,analytics,gained,0.55
project_0055,leadership,gained,0.55
project_0055,public_speaking,gained,0.55
project_0056,sql,required,1.0
project_0056,analytics,required,1.0
project_0056,python,required,1.0
project_0056,sql,role,0.85
project_0056,analytics,role,0.85
project_0056,javascript,role,0.85
project_0056,javascript,gained,0.55
project_0056,react,gained,0.55
project_0056,leadership,gained,0.55
project_0057,react,required,1.0
project_0057,javascript,required,1.0
project_0057,leadership,required,1.0
project_0057,react,role,0.85
project_0057,leadership,role,0.85
project_0057,figma,role,0.85
project_0057,analytics,gained,0.55
project_0057,public_speaking,gained,0.55
project_0057,git,gained,0.55
project_0058,python,required,1.0
project_0058,machine_learning,required,1.0
project_0058,sql,required,1.0
project_0058,python,role,0.85
project_0058,machine_learning,role,0.85
project_0058,analytics,role,0.85
project_0058,analytics,gained,0.55
project_0058,git,gained,0.55
project_0058,leadership,gained,0.55
project_0059,analytics,required,1.0
project_0059,python,required,1.0
project_0059,public_speaking,required,1.0
project_0059,analytics,role,0.85
project_0059,design_thinking,role,0.85
project_0059,public_speaking,role,0.85
project_0059,prompt_engineering,gained,0.55
project_0059,leadership,gained,0.55
project_0059,sql,gained,0.55
project_0060,python,required,1.0
project_0060,machine_learning,required,1.0
project_0060,prompt_engineering,required,1.0
project_0060,python,role,0.85
project_0060,react,role,0.85
project_0060,design_thinking,role,0.85
project_0060,analytics,gained,0.55
project_0060,git,gained,0.55
project_0060,sql,gained,0.55
project_0061,python,required,1.0
project_0061,sql,required,1.0
project_0061,analytics,required,1.0
project_0061,analytics,role,0.85
project_0061,react,role,0.85
project_0061,public_speaking,role,0.85
project_0061,react,gained,0.55
project_0061,design_thinking,gained,0.55
project_0061,leadership,gained,0.55
project_0062,javascript,required,1.0
project_0062,react,required,1.0
project_0062,analytics,required,1.0
project_0062,react,role,0.85
project_0062,analytics,role,0.85
project_0062,figma,role,0.85
project_0062,sql,gained,0.55
project_0062,leadership,gained,0.55
project_0062,design_thinking,gained,0.55
project_0063,python,required,1.0
project_0063,machine_learning,required,1.0
project_0063,git,required,1.0
project_0063,python,role,0.85
project_0063,machine_learning,role,0.85
project_0063,react,role,0.85
project_0063,leadership,gained,0.55
project_0063,prompt_engineering,gained,0.55
project_0063,public_speaking,gained,0.55
project_0064,python,required,1.0
project_0064,javascript,required,1.0
project_0064,sql,required,1.0
project_0064,python,role,0.85
project_0064,javascript,role,0.85
project_0064,design_thinking,role,0.85
project_0064,analytics,gained,0.55
project_0064,git,gained,0.55
project_0064,leadership,gained,0.55
project_0065,figma,required,1.0
project_0065,design_thinking,required,1.0
project_0065,javascript,required,1.0
project_0065,figma,role,0.85
project_0065,react,role,0.85
project_0065,design_thinking,role,0.85
project_0065,react,gained,0.55
project_0065,leadership,gained,0.55
project_0065,public_speaking,gained,0.55
project_0066,sql,required,1.0
project_0066,javascript,required,1.0
project_0066,analytics,required,1.0
project_0066,analytics,role,0.85
project_0066,sql,role,0.85
project_0066,react,role,0.85
project_0066,react,gained,0.55
project_0066,leadership,gained,0.55
project_0066,git,gained,0.55
project_0067,prompt_engineering,required,1.0
project_0067,python,required,1.0
project_0067,design_thinking,required,1.0
project_0067,prompt_engineering,role,0.85
project_0067,python,role,0.85
project_0067,figma,role,0.85
project_0067,analytics,gained,0.55
project_0067,leadership,gained,0.55
project_0067,public_speaking,gained,0.55
project_0068,sql,required,1.0
project_0068,analytics,required,1.0
project_0068,python,required,1.0
project_0068,sql,role,0.85
project_0068,analytics,role,0.85
project_0068,javascript,role,0.85
project_0068,javascript,gained,0.55
project_0068,react,gained,0.55
project_0068,leadership,gained,0.55
project_0069,react,required,1.0
project_0069,javascript,required,1.0
project_0069,leadership,required,1.0
project_0069,react,role,0.85
project_0069,leadership,role,0.85
project_0069,figma,role,0.85
project_0069,analytics,gained,0.55
project_0069,public_speaking,gained,0.55
project_0069,git,gained,0.55
project_0070,python,required,1.0
project_0070,machine_learning,required,1.0
project_0070,sql,required,1.0
project_0070,python,role,0.85
project_0070,machine_learning,role,0.85
project_0070,analytics,role,0.85
project_0070,analytics,gained,0.55
project_0070,git,gained,0.55
project_0070,leadership,gained,0.55
project_0071,analytics,required,1.0
project_0071,python,required,1.0
project_0071,public_speaking,required,1.0
project_0071,analytics,role,0.85
project_0071,design_thinking,role,0.85
project_0071,public_speaking,role,0.85
project_0071,prompt_engineering,gained,0.55
project_0071,leadership,gained,0.55
project_0071,sql,gained,0.55
project_0072,python,required,1.0
project_0072,machine_learning,required,1.0
project_0072,prompt_engineering,required,1.0
project_0072,python,role,0.85
project_0072,react,role,0.85
project_0072,design_thinking,role,0.85
project_0072,analytics,gained,0.55
project_0072,git,gained,0.55
project_0072,sql,gained,0.55
project_0073,python,required,1.0
project_0073,sql,required,1.0
project_0073,analytics,required,1.0
project_0073,analytics,role,0.85
project_0073,react,role,0.85
project_0073,public_speaking,role,0.85
project_0073,react,gained,0.55
project_0073,design_thinking,gained,0.55
project_0073,leadership,gained,0.55
project_0074,javascript,required,1.0
project_0074,react,required,1.0
project_0074,analytics,required,1.0
project_0074,react,role,0.85
project_0074,analytics,role,0.85
project_0074,figma,role,0.85
project_0074,sql,gained,0.55
project_0074,leadership,gained,0.55
project_0074,design_thinking,gained,0.55
project_0075,python,required,1.0
project_0075,machine_learning,required,1.0
project_0075,git,required,1.0
project_0075,python,role,0.85
project_0075,machine_learning,role,0.85
project_0075,react,role,0.85
project_0075,leadership,gained,0.55
project_0075,prompt_engineering,gained,0.55
project_0075,public_speaking,gained,0.55
project_0076,python,required,1.0
project_0076,javascript,required,1.0
project_0076,sql,required,1.0
project_0076,python,role,0.85
project_0076,javascript,role,0.85
project_0076,design_thinking,role,0.85
project_0076,analytics,gained,0.55
project_0076,git,gained,0.55
project_0076,leadership,gained,0.55
project_0077,figma,required,1.0
project_0077,design_thinking,required,1.0
project_0077,javascript,required,1.0
project_0077,figma,role,0.85
project_0077,react,role,0.85
project_0077,design_thinking,role,0.85
project_0077,react,gained,0.55
project_0077,leadership,gained,0.55
project_0077,public_speaking,gained,0.55
project_0078,sql,required,1.0
project_0078,javascript,required,1.0
project_0078,analytics,required,1.0
project_0078,analytics,role,0.85
project_0078,sql,role,0.85
project_0078,react,role,0.85
project_0078,react,gained,0.55
project_0078,leadership,gained,0.55
project_0078,git,gained,0.55
project_0079,prompt_engineering,required,1.0
project_0079,python,required,1.0
project_0079,design_thinking,required,1.0
project_0079,prompt_engineering,role,0.85
project_0079,python,role,0.85
project_0079,figma,role,0.85
project_0079,analytics,gained,0.55
project_0079,leadership,gained,0.55
project_0079,public_speaking,gained,0.55
project_0080,sql,required,1.0
project_0080,analytics,required,1.0
project_0080,python,required,1.0
project_0080,sql,role,0.85
project_0080,analytics,role,0.85
project_0080,javascript,role,0.85
project_0080,javascript,gained,0.55
project_0080,react,gained,0.55
project_0080,leadership,gained,0.55
project_0081,react,required,1.0
project_0081,javascript,required,1.0
project_0081,leadership,required,1.0
project_0081,react,role,0.85
project_0081,leadership,role,0.85
project_0081,figma,role,0.85
project_0081,analytics,gained,0.55
project_0081,public_speaking,gained,0.55
project_0081,git,gained,0.55
project_0082,python,required,1.0
project_0082,machine_learning,required,1.0
project_0082,sql,required,1.0
project_0082,python,role,0.85
project_0082,machine_learning,role,0.85
project_0082,analytics,role,0.85
project_0082,analytics,gained,0.55
project_0082,git,gained,0.55
project_0082,leadership,gained,0.55
project_0083,analytics,required,1.0
project_0083,python,required,1.0
project_0083,public_speaking,required,1.0
project_0083,analytics,role,0.85
project_0083,design_thinking,role,0.85
project_0083,public_speaking,role,0.85
project_0083,prompt_engineering,gained,0.55
project_0083,leadership,gained,0.55
project_0083,sql,gained,0.55
project_0084,python,required,1.0
project_0084,machine_learning,required,1.0
project_0084,prompt_engineering,required,1.0
project_0084,python,role,0.85
project_0084,react,role,0.85
project_0084,design_thinking,role,0.85
project_0084,analytics,gained,0.55
project_0084,git,gained,0.55
project_0084,sql,gained,0.55
project_0085,python,required,1.0
project_0085,sql,required,1.0
project_0085,analytics,required,1.0
project_0085,analytics,role,0.85
project_0085,react,role,0.85
project_0085,public_speaking,role,0.85
project_0085,react,gained,0.55
project_0085,design_thinking,gained,0.55
project_0085,leadership,gained,0.55
project_0086,javascript,required,1.0
project_0086,react,required,1.0
project_0086,analytics,required,1.0
project_0086,react,role,0.85
project_0086,analytics,role,0.85
project_0086,figma,role,0.85
project_0086,sql,gained,0.55
project_0086,leadership,gained,0.55
project_0086,design_thinking,gained,0.55
project_0087,python,required,1.0
project_0087,machine_learning,required,1.0
project_0087,git,required,1.0
project_0087,python,role,0.85
project_0087,machine_learning,role,0.85
project_0087,react,role,0.85
project_0087,leadership,gained,0.55
project_0087,prompt_engineering,gained,0.55
project_0087,public_speaking,gained,0.55
project_0088,python,required,1.0
project_0088,javascript,required,1.0
project_0088,sql,required,1.0
project_0088,python,role,0.85
project_0088,javascript,role,0.85
project_0088,design_thinking,role,0.85
project_0088,analytics,gained,0.55
project_0088,git,gained,0.55
project_0088,leadership,gained,0.55
project_0089,figma,required,1.0
project_0089,design_thinking,required,1.0
project_0089,javascript,required,1.0
project_0089,figma,role,0.85
project_0089,react,role,0.85
project_0089,design_thinking,role,0.85
project_0089,react,gained,0.55
project_0089,leadership,gained,0.55
project_0089,public_speaking,gained,0.55
project_0090,sql,required,1.0
project_0090,javascript,required,1.0
project_0090,analytics,required,1.0
project_0090,analytics,role,0.85
project_0090,sql,role,0.85
project_0090,react,role,0.85
project_0090,react,gained,0.55
project_0090,leadership,gained,0.55
project_0090,git,gained,0.55
project_0091,prompt_engineering,required,1.0
project_0091,python,required,1.0
project_0091,design_thinking,required,1.0
project_0091,prompt_engineering,role,0.85
project_0091,python,role,0.85
project_0091,figma,role,0.85
project_0091,analytics,gained,0.55
project_0091,leadership,gained,0.55
project_0091,public_speaking,gained,0.55
project_0092,sql,required,1.0
project_0092,analytics,required,1.0
project_0092,python,required,1.0
project_0092,sql,role,0.85
project_0092,analytics,role,0.85
project_0092,javascript,role,0.85
project_0092,javascript,gained,0.55
project_0092,react,gained,0.55
project_0092,leadership,gained,0.55
project_0093,react,required,1.0
project_0093,javascript,required,1.0
project_0093,leadership,required,1.0
project_0093,react,role,0.85
project_0093,leadership,role,0.85
project_0093,figma,role,0.85
project_0093,analytics,gained,0.55
project_0093,public_speaking,gained,0.55
project_0093,git,gained,0.55
project_0094,python,required,1.0
project_0094,machine_learning,required,1.0
project_0094,sql,required,1.0
project_0094,python,role,0.85
project_0094,machine_learning,role,0.85
project_0094,analytics,role,0.85
project_0094,analytics,gained,0.55
project_0094,git,gained,0.55
project_0094,leadership,gained,0.55
project_0095,analytics,required,1.0
project_0095,python,required,1.0
project_0095,public_speaking,required,1.0
project_0095,analytics,role,0.85
project_0095,design_thinking,role,0.85
project_0095,public_speaking,role,0.85
project_0095,prompt_engineering,gained,0.55
project_0095,leadership,gained,0.55
project_0095,sql,gained,0.55
project_0096,python,required,1.0
project_0096,machine_learning,required,1.0
project_0096,prompt_engineering,required,1.0
project_0096,python,role,0.85
project_0096,react,role,0.85
project_0096,design_thinking,role,0.85
project_0096,analytics,gained,0.55
project_0096,git,gained,0.55
project_0096,sql,gained,0.55
project_0097,python,required,1.0
project_0097,sql,required,1.0
project_0097,analytics,required,1.0
project_0097,analytics,role,0.85
project_0097,react,role,0.85
project_0097,public_speaking,role,0.85
project_0097,react,gained,0.55
project_0097,design_thinking,gained,0.55
project_0097,leadership,gained,0.55
project_0098,javascript,required,1.0
project_0098,react,required,1.0
project_0098,analytics,required,1.0
project_0098,react,role,0.85
project_0098,analytics,role,0.85
project_0098,figma,role,0.85
project_0098,sql,gained,0.55
project_0098,leadership,gained,0.55
project_0098,design_thinking,gained,0.55
project_0099,python,required,1.0
project_0099,machine_learning,required,1.0
project_0099,git,required,1.0
project_0099,python,role,0.85
project_0099,machine_learning,role,0.85
project_0099,react,role,0.85
project_0099,leadership,gained,0.55
project_0099,prompt_engineering,gained,0.55
project_0099,public_speaking,gained,0.55
project_0100,python,required,1.0
project_0100,javascript,required,1.0
project_0100,sql,required,1.0
project_0100,python,role,0.85
project_0100,javascript,role,0.85
project_0100,design_thinking,role,0.85
project_0100,analytics,gained,0.55
project_0100,git,gained,0.55
project_0100,leadership,gained,0.55
project_0101,figma,required,1.0
project_0101,design_thinking,required,1.0
project_0101,javascript,required,1.0
project_0101,figma,role,0.85
project_0101,react,role,0.85
project_0101,design_thinking,role,0.85
project_0101,react,gained,0.55
project_0101,leadership,gained,0.55
project_0101,public_speaking,gained,0.55
project_0102,sql,required,1.0
project_0102,javascript,required,1.0
project_0102,analytics,required,1.0
