user_id,project_id,shown_at,session_depth,topic_match_score,required_skill_match_score,gained_skill_match_score,role_skill_match_score,readiness_score,open,like,share,long_view,skip_fast,disengage
user_0097,project_0056,2026-02-05T10:35:05.080920+00:00,23,1.2246,0.0,0.0,0.0,0.0,0,0,1,0,0,1
user_0213,project_0045,2026-02-05T10:36:05.080920+00:00,21,0.0,1.7844,0.0,1.7844,1.2491,1,0,0,0,0,0
user_0049,project_0094,2026-02-05T10:36:05.080920+00:00,15,0.0,2.3086,2.601,2.1357,2.3963,0,1,0,1,0,1
user_0294,project_0009,2026-02-05T10:38:05.080920+00:00,37,0.0,0.0,1.4089,1.0622,0.4227,0,0,0,1,1,1
user_0241,project_0035,2026-02-05T10:46:05.080920+00:00,11,1.447,0.0,0.0,1.4391,0.0,0,0,0,0,1,0
user_0280,project_0030,2026-02-05T10:47:05.080920+00:00,29,0.0,1.113,0.0,0.0,0.7791,1,0,0,1,1,1
user_0260,project_0025,2026-02-05T10:51:05.080920+00:00,43,1.3493,0.7806,1.2681,0.0,0.9268,0,0,0,0,0,0
user_0239,project_0063,2026-02-05T10:56:05.080920+00:00,35,0.0,1.0405,0.0,2.2195,0.7283,0,0,0,1,1,0
user_0014,project_0002,2026-02-05T11:04:05.080920+00:00,36,2.5316,1.0626,1.0242,0.0,1.0511,0,0,0,1,0,0
user_0244,project_0016,2026-02-05T11:14:05.080920+00:00,38,1.3609,1.2067,1.2532,1.2067,1.2207,1,0,1,1,0,1
user_0135,project_0071,2026-02-05T11:17:05.080920+00:00,32,0.9516,1.5125,0.0,0.0,1.0587,1,1,0,1,1,1
user_0058,project_0004,2026-02-05T11:20:05.080920+00:00,7,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1
user_0281,project_0008,2026-02-05T11:26:05.080920+00:00,25,1.0534,2.0638,0.0,2.0638,1.4447,1,0,0,0,0,0
user_0275,project_0082,2026-02-05T11:26:05.080920+00:00,43,1.1488,0.0,0.8643,0.8643,0.2593,0,1,0,1,1,1
user_0281,project_0072,2026-02-05T11:28:05.080920+00:00,1,1.0534,1.2345,2.0638,0.0,1.4833,0,0,0,1,1,0
user_0231,project_0029,2026-02-05T11:33:05.080920+00:00,40,0.0,0.0,1.3661,1.3661,0.4098,0,0,1,1,0,0
user_0143,project_0092,2026-02-05T11:37:05.080920+00:00,27,0.9868,0.0,1.0333,0.0,0.31,0,1,0,0,0,0
user_0082,project_0003,2026-02-05T11:39:05.080920+00:00,12,0.0,2.7266,0.8519,2.7266,2.1642,1,1,0,0,0,1
user_0049,project_0032,2026-02-05T11:40:05.080920+00:00,21,0.0,2.9351,0.0,2.9351,2.0546,0,1,1,1,0,0
user_0152,project_0045,2026-02-05T11:43:05.080920+00:00,25,1.9716,1.3666,2.2584,1.3666,1.6341,1,0,1,1,1,1
user_0085,project_0022,2026-02-05T11:44:05.080920+00:00,16,1.1917,0.0,1.0751,0.0,0.3225,1,1,0,1,1,1
user_0019,project_0083,2026-02-05T11:44:05.080920+00:00,41,1.4052,1.6089,0.0,1.6089,1.1262,0,1,0,1,0,0
user_0296,project_0076,2026-02-05T11:45:05.080920+00:00,32,1.138,1.5667,0.0,2.2586,1.0967,1,1,1,0,1,0
user_0201,project_0011,2026-02-05T11:54:05.080920+00:00,30,2.5148,0.6525,2.3867,2.0486,1.1728,0,1,1,1,0,0
user_0073,project_0015,2026-02-05T12:01:05.080920+00:00,45,2.2786,2.27,2.1201,1.4055,2.225,0,0,1,1,0,0
user_0043,project_0022,2026-02-05T12:02:05.080920+00:00,10,0.0,0.6986,0.0,0.6986,0.489,1,0,0,0,0,1
user_0165,project_0028,2026-02-05T12:05:05.080920+00:00,1,0.9422,0.7436,1.179,0.7436,0.8742,0,1,1,0,1,0
user_0261,project_0049,2026-02-05T12:07:05.080920+00:00,33,0.0,2.477,0.7348,2.148,1.9543,1,0,1,0,0,0
user_0203,project_0009,2026-02-05T12:09:05.080920+00:00,13,1.1146,2.2462,1.0823,3.4022,1.897,0,1,0,1,0,0
user_0087,project_0115,2026-02-05T12:20:05.080920+00:00,45,0.8391,0.0,2.0749,0.0,0.6225,1,0,1,1,0,1
user_0049,project_0050,2026-02-05T12:21:05.080920+00:00,38,0.0,1.3811,2.987,1.3811,1.8629,0,1,1,1,1,1
user_0129,project_0043,2026-02-05T12:28:05.080920+00:00,2,0.9282,0.0,2.1889,0.0,0.6567,1,1,1,1,1,1
user_0041,project_0070,2026-02-05T12:28:05.080920+00:00,33,0.8213,0.0,2.2457,1.1627,0.6737,0,1,1,0,1,0
user_0077,project_0087,2026-02-05T13:02:05.080920+00:00,20,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1
user_0069,project_0028,2026-02-05T13:02:05.080920+00:00,1,0.7507,0.822,0.0,1.5445,0.5754,0,0,1,0,0,1
user_0216,project_0013,2026-02-05T13:11:05.080920+00:00,10,0.0,0.8151,2.5716,0.0,1.342,1,0,1,0,0,0
user_0088,project_0023,2026-02-05T13:14:05.080920+00:00,25,0.0,0.0,0.9228,0.0,0.2768,1,0,1,1,1,0
user_0182,project_0090,2026-02-05T13:17:05.080920+00:00,21,1.1729,1.328,3.2712,2.9626,1.911,1,1,1,1,1,0
user_0290,project_0087,2026-02-05T13:21:05.080920+00:00,12,1.0562,2.5442,0.0,2.5442,1.7809,1,0,1,1,1,0
user_0293,project_0079,2026-02-05T13:26:05.080920+00:00,13,1.0669,0.8733,0.7995,0.0,0.8512,1,0,1,1,1,0
user_0043,project_0083,2026-02-05T13:27:05.080920+00:00,2,1.2283,0.0,1.1108,0.9807,0.3332,0,0,0,1,0,0
user_0044,project_0094,2026-02-05T13:28:05.080920+00:00,41,1.1484,2.3161,1.4994,1.5034,2.0711,0,1,0,1,0,0
user_0041,project_0011,2026-02-05T13:38:05.080920+00:00,16,2.0283,1.1627,0.0,1.1627,0.8139,1,0,1,0,1,1
user_0094,project_0052,2026-02-05T13:42:05.080920+00:00,2,0.9526,2.8988,0.0,1.4461,2.0292,1,1,0,1,0,0
user_0077,project_0012,2026-02-05T13:47:05.080920+00:00,6,1.4131,0.0,0.0,0.0,0.0,1,1,0,1,0,1
user_0043,project_0030,2026-02-05T13:49:05.080920+00:00,38,0.0,1.5804,1.3616,1.3616,1.5148,0,1,1,1,0,1
user_0027,project_0109,2026-02-05T13:51:05.080920+00:00,31,0.0,1.2846,0.9547,0.0,1.1856,1,0,0,0,0,1
user_0162,project_0044,2026-02-05T13:59:05.080920+00:00,4,0.0,1.1152,0.0,1.1152,0.7806,1,1,0,1,1,0
user_0165,project_0076,2026-02-05T14:01:05.080920+00:00,16,0.9422,0.7436,1.179,0.7436,0.8742,1,1,1,0,0,0
user_0118,project_0008,2026-02-05T14:04:05.080920+00:00,12,1.8381,0.0,1.1025,1.1025,0.3307,1,1,0,0,0,0
user_0131,project_0050,2026-02-05T14:08:05.080920+00:00,36,1.9259,1.538,2.3428,1.538,1.7794,1,0,1,0,0,1
user_0016,project_0028,2026-02-05T14:09:05.080920+00:00,38,0.0,2.1855,1.1738,1.4835,1.882,1,0,1,1,0,0
user_0057,project_0057,2026-02-05T14:16:05.080920+00:00,8,1.0708,0.0,1.5719,1.0429,0.4716,1,1,0,1,0,0
user_0082,project_0104,2026-02-05T14:17:05.080920+00:00,2,1.1261,2.7184,0.0,1.2678,1.9029,1,1,1,1,0,1
user_0051,project_0034,2026-02-05T14:28:05.080920+00:00,25,0.9447,0.0,0.9094,0.0,0.2728,0,0,0,0,0,1
user_0233,project_0105,2026-02-05T14:35:05.080920+00:00,44,0.0,1.5552,2.2909,1.5552,1.7759,1,0,0,0,1,0
user_0117,project_0114,2026-02-05T14:38:05.080920+00:00,40,0.0,1.1651,1.0713,2.2364,1.137,0,1,0,0,1,0
user_0112,project_0109,2026-02-05T14:47:05.080920+00:00,3,1.3975,0.0,0.0,0.0,0.0,1,0,0,0,1,1
user_0018,project_0006,2026-02-05T14:54:05.080920+00:00,32,1.344,1.4544,1.2829,1.4544,1.4029,0,1,0,1,1,0
user_0237,project_0106,2026-02-05T14:58:05.080920+00:00,39,0.0,0.7455,0.0,0.0,0.5219,0,1,0,0,1,0
user_0219,project_0011,2026-02-05T15:09:05.080920+00:00,45,0.8747,1.3161,1.2796,0.0,1.3051,0,1,1,1,1,0
user_0100,project_0058,2026-02-05T15:20:05.080920+00:00,28,0.769,0.0,1.36,1.36,0.408,1,0,0,1,0,0
user_0160,project_0093,2026-02-05T15:26:05.080920+00:00,30,1.3351,2.7734,0.0,2.9152,1.9414,1,1,1,0,0,0
user_0280,project_0085,2026-02-05T15:43:05.080920+00:00,17,0.0,0.6733,0.0,1.2802,0.4713,0,0,0,0,0,1
user_0085,project_0096,2026-02-05T15:49:05.080920+00:00,3,2.1851,0.0,0.0,3.0727,0.0,0,1,1,1,1,1
user_0122,project_0061,2026-02-05T15:56:05.080920+00:00,37,0.773,2.0638,0.0,0.0,1.4447,1,1,1,0,1,0
user_0003,project_0009,2026-02-05T15:57:05.080920+00:00,33,2.5119,1.5543,0.0,0.7645,1.088,0,1,1,1,0,0
user_0078,project_0076,2026-02-05T15:57:05.080920+00:00,38,1.2441,0.0,0.0,0.9518,0.0,0,1,0,0,1,0
user_0076,project_0077,2026-02-05T16:02:05.080920+00:00,4,1.362,1.1705,1.3401,0.0,1.2214,1,1,0,1,0,1
user_0160,project_0092,2026-02-05T16:12:05.080920+00:00,28,0.0,0.0,2.7734,1.4966,0.832,1,0,1,0,0,1
user_0117,project_0082,2026-02-05T16:22:05.080920+00:00,8,0.0,0.9948,1.1651,2.1599,1.0459,0,1,0,1,1,0
user_0245,project_0000,2026-02-05T16:26:05.080920+00:00,35,1.1062,2.296,0.0,0.7998,1.6072,1,1,0,1,1,0
user_0246,project_0105,2026-02-05T16:28:05.080920+00:00,13,0.0,2.7768,1.4431,2.7768,2.3767,0,0,0,1,0,1
user_0224,project_0006,2026-02-05T16:29:05.080920+00:00,26,0.0,1.1659,1.1732,1.1659,1.1681,1,0,0,0,0,0
user_0196,project_0090,2026-02-05T16:30:05.080920+00:00,39,2.6834,0.0,0.9017,0.0,0.2705,1,0,1,1,1,0
user_0069,project_0066,2026-02-05T16:31:05.080920+00:00,38,0.7507,0.822,0.0,0.822,0.5754,1,1,0,0,1,1
user_0201,project_0110,2026-02-05T16:32:05.080920+00:00,31,1.2235,0.8586,2.5445,0.0,1.3644,0,0,1,0,1,1
user_0210,project_0031,2026-02-05T16:33:05.080920+00:00,33,0.0,0.0,0.8085,0.0,0.2425,0,1,0,1,1,1
user_0108,project_0001,2026-02-05T16:41:05.080920+00:00,37,0.0,1.5005,1.0963,2.9098,1.3792,1,0,1,0,0,1
user_0189,project_0075,2026-02-05T16:48:05.080920+00:00,10,1.0447,0.0,1.0834,1.0027,0.325,0,0,0,0,1,0
user_0083,project_0110,2026-02-05T16:49:05.080920+00:00,45,0.878,0.0,0.0,0.9707,0.0,0,0,1,0,1,1
user_0227,project_0011,2026-02-05T16:54:05.080920+00:00,15,0.8836,0.8598,0.0,0.0,0.6019,1,0,1,0,0,0
user_0274,project_0032,2026-02-05T16:56:05.080920+00:00,45,1.3582,1.1798,0.0,0.0,0.8259,1,1,1,0,1,0
user_0209,project_0056,2026-02-05T16:56:05.080920+00:00,28,1.3255,0.9266,2.3211,1.7932,1.3449,1,0,0,1,0,1
user_0170,project_0106,2026-02-05T17:02:05.080920+00:00,23,0.0,0.0,0.9072,0.9072,0.2722,1,1,0,0,1,1
user_0019,project_0081,2026-02-05T17:08:05.080920+00:00,3,0.8462,0.0,1.6089,1.4509,0.4827,1,0,0,0,1,0
user_0033,project_0077,2026-02-05T17:24:05.080920+00:00,21,2.2156,0.0,0.8416,0.0,0.2525,1,1,1,0,0,0
user_0236,project_0115,2026-02-05T17:45:05.080920+00:00,9,0.0,1.1893,2.2267,2.3794,1.5005,1,1,0,1,1,0
user_0130,project_0055,2026-02-05T17:45:05.080920+00:00,43,0.7911,1.1084,0.0,0.0,0.7759,0,0,0,0,1,1
user_0031,project_0116,2026-02-05T17:46:05.080920+00:00,27,2.1321,0.0,0.0,0.0,0.0,0,1,0,1,1,1
user_0144,project_0044,2026-02-05T17:54:05.080920+00:00,22,2.189,0.0,3.1775,0.0,0.9533,1,1,0,1,0,1
user_0214,project_0119,2026-02-05T17:56:05.080920+00:00,41,2.3073,1.4697,1.0814,1.4697,1.3532,0,0,1,0,0,0
user_0003,project_0115,2026-02-05T18:01:05.080920+00:00,30,1.2965,1.2187,0.7645,0.0,1.0824,0,0,0,1,0,0
user_0165,project_0031,2026-02-05T18:16:05.080920+00:00,7,0.0,1.3946,1.9909,1.3946,1.5735,1,1,1,1,1,0
user_0266,project_0020,2026-02-05T18:23:05.080920+00:00,10,0.0,1.5141,1.117,1.5141,1.395,0,1,0,1,1,0
user_0200,project_0019,2026-02-05T18:23:05.080920+00:00,33,0.9609,1.0971,1.0892,1.0971,1.0947,1,0,0,0,0,1
user_0017,project_0085,2026-02-05T18:27:05.080920+00:00,3,1.0196,2.1443,1.0669,1.1279,1.8211,1,0,1,1,1,0
user_0136,project_0100,2026-02-05T18:28:05.080920+00:00,31,1.6413,1.5363,1.3152,2.6639,1.47,1,0,1,1,1,0
user_0244,project_0103,2026-02-05T18:28:05.080920+00:00,28,2.2638,1.2067,2.0797,1.2067,1.4686,0,0,1,1,0,1
user_0005,project_0025,2026-02-05T18:34:05.080920+00:00,42,0.9611,0.768,0.7376,1.7494,0.7589,1,0,1,1,1,0
user_0229,project_0055,2026-02-05T18:43:05.080920+00:00,31,1.4177,1.1719,0.0,0.0,0.8203,0,1,1,0,0,1
user_0241,project_0024,2026-02-05T18:45:05.080920+00:00,39,2.6918,1.2056,0.0,2.7009,0.8439,0,0,0,0,0,1
user_0113,project_0090,2026-02-05T18:49:05.080920+00:00,29,0.0,1.3798,0.0,1.3798,0.9659,1,0,0,0,0,0
user_0139,project_0045,2026-02-05T18:49:05.080920+00:00,42,1.2273,2.0238,1.1874,1.9536,1.7729,1,1,1,1,0,0
user_0026,project_0110,2026-02-05T18:50:05.080920+00:00,10,1.2467,1.8503,0.0,2.6838,1.2952,1,0,1,1,0,0
user_0132,project_0106,2026-02-05T18:52:05.080920+00:00,31,0.0,1.5989,0.0,1.5989,1.1192,1,1,0,1,1,0
user_0239,project_0015,2026-02-05T18:59:05.080920+00:00,38,0.0,1.0405,0.0,2.2195,0.7283,1,0,0,1,0,1
user_0287,project_0119,2026-02-05T19:04:05.080920+00:00,20,0.0,0.0,2.2395,0.0,0.6718,0,0,0,0,1,1
user_0065,project_0038,2026-02-05T19:06:05.080920+00:00,43,0.0,2.4655,2.4229,1.0667,2.4527,1,0,0,0,1,0
user_0048,project_0037,2026-02-05T19:09:05.080920+00:00,41,1.3072,2.0767,0.0,1.7891,1.4537,0,0,1,1,0,0
user_0167,project_0058,2026-02-05T19:12:05.080920+00:00,19,0.0,1.1062,0.7992,0.0,1.0141,1,0,1,0,1,1
user_0199,project_0066,2026-02-05T19:17:05.080920+00:00,12,1.5253,1.4323,1.5523,1.5523,1.4683,1,1,1,1,0,0
user_0224,project_0078,2026-02-05T19:21:05.080920+00:00,45,0.0,1.1659,1.1732,1.1659,1.1681,1,0,0,0,1,1
user_0000,project_0002,2026-02-05T19:22:05.080920+00:00,43,1.2828,1.4361,0.0,1.4361,1.0053,0,0,0,0,0,0
user_0175,project_0116,2026-02-05T19:26:05.080920+00:00,2,1.397,1.6254,1.3995,0.0,1.5576,1,1,1,0,1,0
user_0068,project_0054,2026-02-05T19:30:05.080920+00:00,3,2.383,0.0,0.6995,0.0,0.2099,0,1,0,1,0,1
user_0225,project_0058,2026-02-05T19:32:05.080920+00:00,25,0.0,1.5154,0.0,0.0,1.0608,0,0,0,0,0,0
user_0204,project_0114,2026-02-05T19:35:05.080920+00:00,18,0.0,3.0747,0.8752,2.414,2.4148,0,0,1,1,0,0
user_0117,project_0024,2026-02-05T19:49:05.080920+00:00,42,0.0,0.9948,1.1651,2.0661,1.0459,0,1,0,1,0,1
user_0203,project_0013,2026-02-05T20:08:05.080920+00:00,41,2.1313,0.0,2.2462,1.4876,0.6739,1,1,1,0,0,0
user_0176,project_0108,2026-02-05T20:35:05.080920+00:00,2,0.8562,1.9864,0.0,3.3472,1.3905,1,1,1,0,1,0
user_0244,project_0107,2026-02-05T20:37:05.080920+00:00,3,0.9029,3.2864,0.0,2.0797,2.3005,1,0,1,0,0,1
user_0227,project_0081,2026-02-05T20:42:05.080920+00:00,16,0.8745,0.0,0.0,0.0,0.0,0,0,1,1,1,1
user_0092,project_0068,2026-02-05T20:47:05.080920+00:00,21,1.0148,0.0,1.5174,0.8631,0.4552,0,0,1,0,0,1
user_0242,project_0084,2026-02-05T20:48:05.080920+00:00,20,3.1998,1.5346,1.5925,0.9298,1.552,1,1,1,1,1,0
user_0174,project_0080,2026-02-05T20:50:05.080920+00:00,39,1.7858,1.5097,0.0,1.5097,1.0568,1,1,0,1,0,1
user_0227,project_0091,2026-02-05T21:05:05.080920+00:00,22,0.8836,0.8598,0.0,0.8598,0.6019,1,0,0,1,0,0
user_0129,project_0015,2026-02-05T21:07:05.080920+00:00,15,1.0201,0.847,2.1889,0.0,1.2496,1,0,1,0,0,0
