user_id,interests,skills,interest_weights,skill_weights,experience_level,preferred_language,region,preferred_formats,freshness_preference,breaking_affinity,source_loyalty_weights,onboarding_completed_at
user_0010,fintech|product|startups,data_literacy|design_thinking|prompt_engineering|python|react,"{""fintech"":1.675,""product"":1.5013,""startups"":1.5755}","{""data_literacy"":0.6297,""design_thinking"":1.4839,""prompt_engineering"":0.9986,""python"":1.717,""react"":1.5627}",junior,es,EU,analysis|briefing|newsletter,1.0622,1.4475,"{""Campus Pulse"":1.0498,""Security Brief"":1.4092}",2026-02-15T12:00:00
user_0011,climate|design|fintech|mobile,git|javascript|machine_learning|public_speaking,"{""climate"":1.3635,""design"":1.5358,""fintech"":0.9977,""mobile"":0.679}","{""git"":1.6524,""javascript"":0.9135,""machine_learning"":1.2967,""public_speaking"":1.7803}",junior,en,APAC,analysis|live_blog|newsletter,1.2038,1.3615,"{""Campus Pulse"":1.0774,""Policy Radar"":1.3044,""Security Brief"":0.9508,""Startup Signal"":1.4128}",2026-01-27T23:00:00
user_0012,fintech|research|robotics,critical_thinking|figma|public_speaking|python,"{""fintech"":1.1825,""research"":1.3502,""robotics"":0.9925}","{""critical_thinking"":1.4367,""figma"":1.2653,""public_speaking"":0.8302,""python"":1.3979}",junior,en,EU,analysis|briefing|explainer,1.3067,1.1845,"{""Policy Radar"":1.2533,""Security Brief"":1.1111,""Startup Signal"":1.1709}",2025-12-21T10:00:00
user_0013,fintech|product|research|robotics|startups,react|sql,"{""fintech"":0.8966,""product"":0.9759,""research"":1.4969,""robotics"":0.8047,""startups"":0.6985}","{""react"":1.7807,""sql"":1.3335}",junior,ru,MENA,analysis|live_blog|newsletter,1.4641,1.4117,"{""Campus Pulse"":1.0238,""Global Science Desk"":1.2938,""Policy Radar"":1.3963,""Security Brief"":1.3802}",2026-02-20T14:00:00
user_0014,ai|climate|cybersecurity|data|policy|product,git|machine_learning|prompt_engineering|public_speaking|react,"{""ai"":1.6475,""climate"":1.586,""cybersecurity"":1.2933,""data"":1.4052,""policy"":1.18,""product"":1.5221}","{""git"":1.2574,""machine_learning"":1.6766,""prompt_engineering"":1.4924,""public_speaking"":1.1696,""react"":0.911}",junior,en,LATAM,analysis|live_blog|newsletter,1.2051,0.8676,"{""Campus Pulse"":1.0859,""Startup Signal"":1.1099}",2026-01-24T14:00:00
user_0015,climate|data|mobile|science,analytics|git|javascript|leadership|machine_learning,"{""climate"":0.8672,""data"":1.0912,""mobile"":1.6001,""science"":1.2633}","{""analytics"":1.4346,""git"":1.6281,""javascript"":1.5187,""leadership"":1.0565,""machine_learning"":0.6071}",junior,en,MENA,analysis|explainer|newsletter,1.3017,1.4284,"{""Policy Radar"":1.1928,""Startup Signal"":1.1444}",2025-11-27T22:00:00
user_0016,ai|mobile|product|research,critical_thinking|public_speaking,"{""ai"":1.1,""mobile"":1.5602,""product"":0.8408,""research"":0.9232}","{""critical_thinking"":0.9928,""public_speaking"":1.1456}",newcomer,en,MENA,briefing|explainer|live_blog,0.8515,1.5637,"{""Builder Weekly"":0.976,""Startup Signal"":1.426,""TechWire"":1.0621}",2025-12-09T12:00:00
user_0017,ai|cybersecurity|data|research,data_literacy|leadership|public_speaking,"{""ai"":0.7701,""cybersecurity"":1.6451,""data"":1.1383,""research"":0.9191}","{""data_literacy"":1.0427,""leadership"":1.3271,""public_speaking"":1.7565}",newcomer,ru,EU,analysis|briefing|newsletter,1.3794,1.4727,"{""Builder Weekly"":0.988,""Campus Pulse"":1.2953,""Global Science Desk"":1.2636,""Policy Radar"":1.001}",2025-12-03T18:00:00
user_0018,fintech|mobile|product,critical_thinking|git|machine_learning|public_speaking,"{""fintech"":0.6633,""mobile"":1.0911,""product"":1.1647}","{""critical_thinking"":1.1202,""git"":1.0346,""machine_learning"":1.6699,""public_speaking"":1.1517}",senior,en,EU,analysis|explainer|newsletter,0.9829,1.145,"{""Campus Pulse"":1.3654,""Lab Chronicle"":0.9933,""Startup Signal"":1.3908}",2026-01-31T12:00:00
user_0019,cybersecurity|data|fintech|policy|startups|web,figma|git|prompt_engineering|react,"{""cybersecurity"":1.2336,""data"":1.1925,""fintech"":0.8506,""policy"":0.9034,""startups"":1.0767,""web"":1.2329}","{""figma"":0.8884,""git"":1.1713,""prompt_engineering"":1.4542,""react"":1.1378}",mid,en,LATAM,analysis|explainer,1.0481,1.3474,"{""Builder Weekly"":1.2155,""Policy Radar"":1.1628,""Startup Signal"":1.323}",2026-02-04T04:00:00
user_0020,climate|data|fintech|science,machine_learning|python,"{""climate"":1.6484,""data"":1.3747,""fintech"":0.8511,""science"":1.4255}","{""machine_learning"":0.9318,""python"":1.3075}",newcomer,ru,APAC,analysis|briefing|explainer,0.8949,0.7887,"{""Builder Weekly"":1.1011,""Campus Pulse"":1.304}",2026-01-04T03:00:00
user_0021,climate|policy|robotics|startups,figma|prompt_engineering,"{""climate"":1.1429,""policy"":1.1125,""robotics"":0.8436,""startups"":0.7039}","{""figma"":1.7293,""prompt_engineering"":1.1733}",junior,es,MENA,briefing|explainer|newsletter,1.3733,1.2654,"{""Startup Signal"":1.447,""TechWire"":1.0092}",2025-12-05T20:00:00
user_0022,design|mobile|policy|research|science|web,prompt_engineering|python,"{""design"":0.7542,""mobile"":1.4509,""policy"":1.3068,""research"":0.9279,""science"":0.7352,""web"":0.9019}","{""prompt_engineering"":1.2624,""python"":0.7878}",junior,en,APAC,briefing|explainer|live_blog,1.3934,1.2513,"{""Builder Weekly"":0.9856,""Policy Radar"":1.0667,""Startup Signal"":1.0823}",2026-01-20T09:00:00
user_0023,cybersecurity|design|robotics|startups,analytics|data_literacy,"{""cybersecurity"":1.4823,""design"":1.2748,""robotics"":1.5155,""startups"":1.6173}","{""analytics"":1.127,""data_literacy"":1.1624}",newcomer,en,MENA,analysis|explainer|newsletter,0.8194,0.9446,"{""Policy Radar"":1.3173,""TechWire"":1.2519}",2025-12-07T15:00:00
user_0024,ai|cybersecurity|policy|product|research,data_literacy|figma|javascript|leadership|prompt_engineering,"{""ai"":1.6675,""cybersecurity"":1.1435,""policy"":1.0788,""product"":0.9871,""research"":0.7598}","{""data_literacy"":0.793,""figma"":1.094,""javascript"":1.1946,""leadership"":1.3951,""prompt_engineering"":1.0805}",newcomer,ru,US,analysis|briefing|live_blog,1.452,1.1427,"{""Campus Pulse"":1.3825,""Global Science Desk"":1.3625,""Policy Radar"":0.9506}",2026-02-18T20:00:00
user_0025,policy|research|robotics|science|startups,design_thinking|figma,"{""policy"":1.2267,""research"":1.6241,""robotics"":1.11,""science"":1.3832,""startups"":0.7775}","{""design_thinking"":1.7678,""figma"":1.3306}",mid,en,EU,briefing|live_blog|newsletter,1.1738,1.3591,"{""Campus Pulse"":1.1807,""Security Brief"":1.0087,""TechWire"":1.3661}",2026-01-20T21:00:00
user_0026,cybersecurity|data|mobile|policy|product|web,critical_thinking|figma|sql,"{""cybersecurity"":1.4613,""data"":1.5471,""mobile"":1.0069,""policy"":1.4771,""product"":0.9305,""web"":0.6527}","{""critical_thinking"":1.4713,""figma"":1.605,""sql"":1.2959}",senior,ru,EU,analysis|explainer|newsletter,1.0872,1.4776,"{""Global Science Desk"":1.3848,""Lab Chronicle"":1.4404,""Policy Radar"":1.0694}",2026-03-10T02:00:00
user_0027,cybersecurity|mobile|policy|science|startups|web,data_literacy|machine_learning,"{""cybersecurity"":1.6636,""mobile"":0.9986,""policy"":0.7554,""science"":1.5373,""startups"":0.7547,""web"":1.606}","{""data_literacy"":0.6184,""machine_learning"":0.773}",senior,es,EU,explainer|live_blog,1.085,1.0192,"{""Builder Weekly"":1.3759,""Global Science Desk"":1.3762,""TechWire"":1.3797}",2025-11-23T19:00:00
user_0028,climate|data|research,critical_thinking|design_thinking|javascript|python,"{""climate"":1.6773,""data"":1.4484,""research"":1.3891}","{""critical_thinking"":0.7206,""design_thinking"":0.7996,""javascript"":0.9594,""python"":0.6347}",senior,en,US,analysis|live_blog|newsletter,0.935,0.8988,"{""Policy Radar"":1.156,""Startup Signal"":1.2909}",2025-12-25T15:00:00
user_0029,cybersecurity|data|policy|research,analytics|figma|leadership|public_speaking|react,"{""cybersecurity"":1.5939,""data"":1.1385,""policy"":0.952,""research"":1.2239}","{""analytics"":0.6886,""figma"":1.7343,""leadership"":1.7852,""public_speaking"":0.959,""react"":1.7544}",senior,ru,MENA,analysis|explainer|newsletter,1.5445,1.0009,"{""Policy Radar"":1.236,""Security Brief"":1.2374}",2026-02-08T12:00:00
user_0030,policy|research|science,design_thinking|prompt_engineering|react|sql,"{""policy"":1.492,""research"":0.88,""science"":0.8496}","{""design_thinking"":0.9008,""prompt_engineering"":1.5067,""react"":1.521,""sql"":1.417}",junior,en,US,explainer|live_blog,1.045,1.1032,"{""Builder Weekly"":1.0157,""Security Brief"":1.4048}",2026-02-26T19:00:00
user_0031,cybersecurity|design|product|science|web,critical_thinking|figma|git|python|react,"{""cybersecurity"":1.1417,""design"":0.7291,""product"":1.4419,""science"":0.8869,""web"":1.3601}","{""critical_thinking"":1.4093,""figma"":1.0769,""git"":1.6149,""python"":1.2688,""react"":0.7084}",junior,en,LATAM,explainer|live_blog,1.2211,1.528,"{""Lab Chronicle"":1.0042,""Policy Radar"":1.0669,""Security Brief"":0.9625,""Startup Signal"":1.3921}",2025-12-23T10:00:00
user_0032,climate|cybersecurity|design|mobile|robotics|science,analytics|figma,"{""climate"":1.6957,""cybersecurity"":0.7719,""design"":0.8965,""mobile"":1.2144,""robotics"":1.0581,""science"":1.0396}","{""analytics"":1.7393,""figma"":1.4358}",mid,en,APAC,briefing|explainer,0.9771,1.0583,"{""Global Science Desk"":1.2951,""Lab Chronicle"":1.0586,""TechWire"":1.1723}",2026-01-04T16:00:00
user_0033,ai|climate|data|design|mobile,critical_thinking|design_thinking|prompt_engineering|public_speaking|react,"{""ai"":1.6696,""climate"":0.7031,""data"":1.0002,""design"":1.6883,""mobile"":1.4763}","{""critical_thinking"":0.8462,""design_thinking"":1.5958,""prompt_engineering"":1.265,""public_speaking"":1.3037,""react"":1.5757}",junior,en,EU,analysis|live_blog,0.8193,0.7626,"{""Global Science Desk"":1.0372,""Startup Signal"":1.2805}",2025-12-30T02:00:00
user_0034,ai|cybersecurity|design,javascript|machine_learning|python,"{""ai"":0.7693,""cybersecurity"":0.7167,""design"":1.1207}","{""javascript"":1.0344,""machine_learning"":1.3124,""python"":1.1424}",newcomer,en,APAC,live_blog|newsletter,1.3343,1.127,"{""Policy Radar"":1.3736,""Security Brief"":1.1631,""TechWire"":1.004}",2026-02-01T17:00:00
user_0035,climate|cybersecurity|design|research,figma|javascript|machine_learning|prompt_engineering,"{""climate"":1.1264,""cybersecurity"":1.2857,""design"":0.7541,""research"":1.3869}","{""figma"":1.6234,""javascript"":1.3811,""machine_learning"":1.5228,""prompt_engineering"":1.465}",senior,en,MENA,explainer|live_blog,1.0807,0.8797,"{""Builder Weekly"":0.9975,""Global Science Desk"":1.1634,""Policy Radar"":1.2826}",2026-03-07T10:00:00
user_0036,climate|mobile|web,analytics|data_literacy|machine_learning|react,"{""climate"":1.2658,""mobile"":1.2397,""web"":0.9961}","{""analytics"":0.7467,""data_literacy"":1.0243,""machine_learning"":1.3984,""react"":1.5003}",mid,es,US,analysis|live_blog|newsletter,0.8812,1.4686,"{""Campus Pulse"":1.2784,""Policy Radar"":1.0621}",2026-03-01T04:00:00
user_0037,mobile|product|research|startups,prompt_engineering|public_speaking,"{""mobile"":1.5209,""product"":0.9308,""research"":0.8394,""startups"":1.3878}","{""prompt_engineering"":0.9708,""public_speaking"":1.0078}",newcomer,en,EU,analysis|briefing|live_blog,1.3412,1.4103,"{""Builder Weekly"":1.0576,""Security Brief"":1.1599,""Startup Signal"":1.1204,""TechWire"":1.135}",2025-11-22T11:00:00
user_0038,ai|cybersecurity|research|startups,figma|leadership,"{""ai"":1.345,""cybersecurity"":1.1599,""research"":1.1141,""startups"":0.9368}","{""figma"":1.5059,""leadership"":0.7366}",mid,en,LATAM,briefing|live_blog|newsletter,1.509,1.4022,"{""Global Science Desk"":0.9774,""Startup Signal"":1.0522}",2026-02-06T02:00:00
user_0039,ai|policy|science,data_literacy|design_thinking|javascript|machine_learning|sql,"{""ai"":1.1753,""policy"":1.525,""science"":1.4965}","{""data_literacy"":0.6865,""design_thinking"":1.6341,""javascript"":0.6508,""machine_learning"":0.6225,""sql"":1.7054}",newcomer,es,APAC,explainer|live_blog|newsletter,1.424,1.5318,"{""Global Science Desk"":0.9604,""Lab Chronicle"":1.1124,""Policy Radar"":1.3507,""TechWire"":1.2591}",2026-01-19T09:00:00
user_0040,mobile|product|research|web,figma|javascript,"{""mobile"":1.4331,""product"":0.8827,""research"":1.4681,""web"":0.7302}","{""figma"":1.3599,""javascript"":1.2367}",senior,en,LATAM,analysis|briefing|newsletter,1.3694,0.8141,"{""Campus Pulse"":1.0367,""Startup Signal"":1.0264}",2026-01-14T18:00:00
user_0041,fintech|research|robotics|science|startups|web,critical_thinking|data_literacy|leadership|react,"{""fintech"":1.1143,""research"":0.968,""robotics"":0.9384,""science"":0.709,""startups"":1.1827,""web"":0.9759}","{""critical_thinking"":1.1423,""data_literacy"":0.6683,""leadership"":1.598,""react"":0.6921}",newcomer,es,US,analysis|briefing|explainer,1.428,1.585,"{""Lab Chronicle"":1.2007,""Policy Radar"":1.4289,""Security Brief"":1.1753,""Startup Signal"":1.3555}",2026-01-09T16:00:00
user_0042,ai|data|policy|science,data_literacy|git|machine_learning|prompt_engineering|sql,"{""ai"":1.0415,""data"":0.947,""policy"":1.0792,""science"":1.0053}","{""data_literacy"":1.3175,""git"":1.5471,""machine_learning"":1.3768,""prompt_engineering"":0.6791,""sql"":0.7134}",newcomer,ru,LATAM,analysis|explainer|newsletter,1.2966,0.8596,"{""Lab Chronicle"":1.1051,""Security Brief"":1.278}",2026-02-03T19:00:00
user_0043,climate|cybersecurity|fintech|product|robotics|startups,analytics|figma|git|machine_learning|react,"{""climate"":0.8393,""cybersecurity"":0.8749,""fintech"":1.6451,""product"":1.1606,""robotics"":0.8879,""startups"":0.7944}","{""analytics"":0.6926,""figma"":1.6133,""git"":0.7214,""machine_learning"":1.525,""react"":1.6021}",senior,es,US,analysis|live_blog|newsletter,0.9242,1.122,"{""Campus Pulse"":1.3657,""Global Science Desk"":1.3355,""Lab Chronicle"":1.3545}",2026-01-27T15:00:00
user_0044,design|policy|research|web,design_thinking|figma|machine_learning,"{""design"":1.6639,""policy"":1.4736,""research"":1.5992,""web"":0.8537}","{""design_thinking"":1.414,""figma"":1.2845,""machine_learning"":1.1287}",newcomer,ru,MENA,analysis|live_blog|newsletter,1.2159,0.8372,"{""Startup Signal"":1.2706,""TechWire"":1.3871}",2026-02-07T10:00:00
user_0045,cybersecurity|design|policy|product,analytics|critical_thinking|design_thinking|git|leadership,"{""cybersecurity"":1.0856,""design"":1.0663,""policy"":1.0427,""product"":1.0555}","{""analytics"":0.6979,""critical_thinking"":0.8694,""design_thinking"":0.9824,""git"":0.7189,""leadership"":1.4576}",junior,en,EU,briefing|live_blog,0.8143,0.9333,"{""Builder Weekly"":1.1846,""Global Science Desk"":1.2577,""Lab Chronicle"":1.4029}",2026-01-03T13:00:00
user_0046,climate|data|design|science|startups|web,design_thinking|javascript,"{""climate"":1.3209,""data"":1.304,""design"":0.7159,""science"":1.5285,""startups"":1.1748,""web"":1.2129}","{""design_thinking"":1.3583,""javascript"":1.2901}",newcomer,ru,LATAM,briefing|live_blog|newsletter,1.3898,1.1815,"{""Builder Weekly"":1.2117,""Campus Pulse"":1.1303,""Global Science Desk"":1.4267,""TechWire"":1.222}",2026-01-24T21:00:00
user_0047,fintech|mobile|robotics,analytics|critical_thinking|git|python,"{""fintech"":1.012,""mobile"":1.4196,""robotics"":1.3097}","{""analytics"":1.5258,""critical_thinking"":1.4822,""git"":0.999,""python"":0.6532}",mid,en,EU,analysis|briefing|explainer,0.9496,0.7856,"{""Security Brief"":1.0967,""TechWire"":0.9719}",2026-01-09T00:00:00
user_0048,ai|data|design|fintech|robotics|web,public_speaking|sql,"{""ai"":0.9985,""data"":0.7807,""design"":1.0364,""fintech"":1.584,""robotics"":1.4305,""web"":1.5894}","{""public_speaking"":1.064,""sql"":1.7685}",senior,en,MENA,briefing|live_blog|newsletter,1.0459,1.0013,"{""Global Science Desk"":1.4475,""Policy Radar"":1.0402,""Startup Signal"":1.0969,""TechWire"":1.0013}",2025-12-27T14:00:00
user_0049,ai|cybersecurity|fintech|policy|science|startups,figma|javascript|prompt_engineering|public_speaking,"{""ai"":1.679,""cybersecurity"":1.6453,""fintech"":0.7288,""policy"":1.3194,""science"":1.0315,""startups"":1.4912}","{""figma"":1.4153,""javascript"":1.7433,""prompt_engineering"":0.7713,""public_speaking"":1.3291}",junior,ru,US,analysis|briefing,1.133,0.8154,"{""Builder Weekly"":0.9662,""Lab Chronicle"":1.0267,""Policy Radar"":1.175,""Startup Signal"":1.1355}",2026-01-07T01:00:00
user_0050,ai|climate|data|design|fintech|robotics,javascript|leadership|machine_learning,"{""ai"":1.6092,""climate"":0.7736,""data"":1.4637,""design"":1.3892,""fintech"":0.8753,""robotics"":1.2925}","{""javascript"":1.4328,""leadership"":1.7984,""machine_learning"":0.8402}",junior,en,US,analysis|briefing|explainer,1.3322,1.3452,"{""Builder Weekly"":1.225,""Lab Chronicle"":1.0952,""Security Brief"":1.1,""TechWire"":1.0288}",2025-12-04T01:00:00
user_0051,climate|cybersecurity|data|startups,analytics|git|machine_learning|prompt_engineering|react,"{""climate"":1.1408,""cybersecurity"":1.6822,""data"":0.7863,""startups"":1.5785}","{""analytics"":0.6789,""git"":1.0778,""machine_learning"":1.4603,""prompt_engineering"":1.1744,""react"":1.093}",senior,en,APAC,analysis|live_blog,0.9365,1.5713,"{""Campus Pulse"":1.1223,""Global Science Desk"":1.389,""Policy Radar"":1.3401,""Startup Signal"":1.2699}",2026-01-10T11:00:00
user_0052,cybersecurity|design|product,data_literacy|git|python,"{""cybersecurity"":0.8867,""design"":1.6449,""product"":1.1948}","{""data_literacy"":0.9409,""git"":0.6946,""python"":0.8356}",newcomer,es,LATAM,briefing|live_blog,1.4929,0.785,"{""Campus Pulse"":1.0356,""Global Science Desk"":1.2622,""Lab Chronicle"":1.401,""Startup Signal"":1.1188}",2026-03-05T11:00:00
user_0053,data|mobile|research|robotics|science,leadership|public_speaking,"{""data"":1.2229,""mobile"":1.324,""research"":0.9672,""robotics"":0.9071,""science"":1.4977}","{""leadership"":1.0873,""public_speaking"":1.1443}",mid,ru,EU,analysis|explainer|newsletter,1.0395,1.5898,"{""Builder Weekly"":1.0218,""Startup Signal"":1.3807}",2026-01-23T08:00:00
user_0054,climate|data|fintech|product|web,critical_thinking|data_literacy|design_thinking|figma|leadership,"{""climate"":0.7517,""data"":0.9547,""fintech"":1.0534,""product"":1.2961,""web"":0.9107}","{""critical_thinking"":1.6384,""data_literacy"":0.7916,""design_thinking"":0.9929,""figma"":1.2932,""leadership"":0.9753}",newcomer,ru,MENA,analysis|explainer|live_blog,0.9614,1.05,"{""Campus Pulse"":1.2027,""Policy Radar"":1.4333}",2026-02-06T21:00:00
user_0055,ai|climate|cybersecurity|design|mobile|product,git|javascript|python|react,"{""ai"":0.6975,""climate"":0.7037,""cybersecurity"":1.2399,""design"":1.0306,""mobile"":0.953,""product"":1.0557}","{""git"":1.1404,""javascript"":1.2598,""python"":1.5904,""react"":1.3479}",mid,ru,EU,explainer|live_blog,0.834,0.8665,"{""Builder Weekly"":1.0495,""Campus Pulse"":1.2046,""Global Science Desk"":1.2}",2025-12-02T21:00:00
user_0056,cybersecurity|fintech|product|research|startups|web,javascript|prompt_engineering|python,"{""cybersecurity"":1.5347,""fintech"":1.2734,""product"":1.1827,""research"":1.1852,""startups"":1.1643,""web"":1.2411}","{""javascript"":1.1699,""prompt_engineering"":0.62,""python"":0.9975}",junior,en,MENA,analysis|briefing|explainer,1.0851,1.4484,"{""Builder Weekly"":1.1902,""Policy Radar"":1.2121,""Startup Signal"":1.3106,""TechWire"":1.3373}",2026-03-10T18:00:00
user_0057,ai|data|policy,data_literacy|design_thinking|javascript|sql,"{""ai"":1.0809,""data"":1.4637,""policy"":1.6165}","{""data_literacy"":1.6474,""design_thinking"":1.483,""javascript"":0.6747,""sql"":0.7657}",mid,en,LATAM,analysis|explainer|newsletter,1.379,1.3628,"{""Security Brief"":1.1212,""Startup Signal"":1.1271}",2025-12-26T21:00:00
user_0058,data|design|product|startups,figma|react|sql,"{""data"":1.3901,""design"":1.3748,""product"":1.1635,""startups"":1.1538}","{""figma"":1.2726,""react"":1.7214,""sql"":1.466}",mid,en,APAC,briefing|explainer|live_blog,1.3605,0.9319,"{""Builder Weekly"":0.9895,""Lab Chronicle"":1.412,""TechWire"":1.278}",2026-01-02T14:00:00
user_0059,climate|cybersecurity|data|research|science,analytics|machine_learning|public_speaking,"{""climate"":0.887,""cybersecurity"":0.8945,""data"":0.7552,""research"":0.9968,""science"":1.146}","{""analytics"":1.4174,""machine_learning"":0.765,""public_speaking"":1.7574}",junior,es,EU,explainer|live_blog|newsletter,1.3765,1.3045,"{""Lab Chronicle"":1.0927,""Startup Signal"":0.9796}",2026-01-05T13:00:00
user_0060,cybersecurity|mobile|web,javascript|sql,"{""cybersecurity"":1.4774,""mobile"":0.8456,""web"":1.4365}","{""javascript"":1.6467,""sql"":0.9474}",mid,en,LATAM,live_blog|newsletter,0.9219,1.1401,"{""Campus Pulse"":1.184,""Security Brief"":1.0464,""Startup Signal"":1.0063}",2025-12-14T07:00:00
user_0061,design|fintech|science,data_literacy|prompt_engineering|public_speaking,"{""design"":1.5919,""fintech"":1.5183,""science"":1.191}","{""data_literacy"":0.7041,""prompt_engineering"":1.4031,""public_speaking"":0.8217}",junior,en,LATAM,briefing|live_blog,0.8086,1.3056,"{""Lab Chronicle"":1.427,""Policy Radar"":1.101,""Security Brief"":1.3114}",2026-03-07T15:00:00
user_0062,cybersecurity|design|policy,critical_thinking|figma|machine_learning|public_speaking|python,"{""cybersecurity"":1.3206,""design"":1.6377,""policy"":1.0359}","{""critical_thinking"":0.865,""figma"":1.7488,""machine_learning"":1.1738,""public_speaking"":1.146,""python"":1.7866}",junior,en,APAC,analysis|briefing|newsletter,1.2107,1.1797,"{""Campus Pulse"":1.3019,""Global Science Desk"":0.9891,""Policy Radar"":1.2321,""Startup Signal"":0.9809}",2026-02-22T02:00:00
user_0063,climate|data|policy|research|robotics|web,analytics|data_literacy|leadership|machine_learning|react,"{""climate"":1.0862,""data"":1.2421,""policy"":1.2367,""research"":1.3564,""robotics"":0.9736,""web"":0.6729}","{""analytics"":0.9053,""data_literacy"":0.6036,""leadership"":0.8615,""machine_learning"":0.6876,""react"":1.1084}",senior,ru,APAC,briefing|explainer,1.2811,1.3699,"{""Policy Radar"":1.04,""Startup Signal"":1.0177}",2026-01-27T00:00:00
